This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201810 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197808,    9.74,    8.54,   10.14,   10.60,    7.88,    7.71,    9.41,   10.72,   11.15,    9.52,    7.37,    8.49,    7.61,    7.82,   10.04,    8.74,   10.03,   11.28
197809,    1.39,   -0.03,   -0.78,    1.47,    0.35,    0.31,    0.16,   -1.30,    2.50,   -0.56,    1.15,   -0.63,   -0.13,    0.76,   -0.13,    0.46,   -1.06,   -1.49
197810,  -19.36,  -17.40,  -19.96,  -20.03,  -17.15,  -17.28,  -17.80,  -21.05,  -21.04,  -18.05,  -17.53,  -16.68,  -17.85,  -16.72,  -18.22,  -17.35,  -20.50,  -21.50
197811,    3.50,    4.74,    5.98,    2.91,    5.14,    4.83,    4.47,    6.49,    1.94,    4.84,    5.10,    5.18,    5.10,    4.56,    4.21,    4.74,    5.88,    6.99
197812,    0.38,    1.45,    2.41,   -0.26,    1.50,    1.24,    2.06,    2.71,   -0.37,   -0.04,    2.10,    0.78,    1.84,    0.63,    2.39,    1.70,    2.67,    2.74
197901,   11.25,    8.33,    9.32,   12.08,    8.77,    8.27,    8.62,    9.46,   13.00,   10.28,    9.01,    8.48,    8.19,    8.36,    8.29,    8.97,    8.90,    9.92
197902,   -1.65,   -2.06,   -3.06,   -1.63,   -1.39,   -2.26,   -2.70,   -3.17,   -1.52,   -1.83,   -1.71,   -1.01,   -2.26,   -2.25,   -2.59,   -2.81,   -2.84,   -3.44
197903,    8.26,    7.95,    9.14,    8.27,    7.53,    8.01,    8.21,    9.83,    8.22,    8.36,    8.24,    6.67,    7.97,    8.06,    8.91,    7.48,    9.68,    9.96
197904,    3.04,    2.45,    2.44,    3.30,    2.53,    2.20,    2.55,    2.43,    3.74,    2.44,    2.34,    2.76,    2.35,    2.04,    2.63,    2.48,    2.90,    2.04
197905,   -0.35,   -1.35,    0.31,   -0.50,   -0.31,   -1.64,   -1.58,    1.21,   -0.52,   -0.47,    0.06,   -0.75,   -1.50,   -1.77,   -1.34,   -1.82,    4.16,   -1.21
197906,    6.01,    5.62,    4.63,    6.25,    5.30,    6.03,    5.26,    4.36,    6.50,    5.76,    5.38,    5.21,    6.10,    5.95,    5.25,    5.27,    4.68,    4.09
197907,    1.92,    2.84,    2.68,    1.60,    2.63,    2.77,    3.25,    2.56,    1.88,    1.12,    3.01,    2.26,    2.56,    2.95,    3.54,    2.96,    2.36,    2.71
197908,    7.10,    7.56,    8.61,    7.58,    6.51,    7.54,    8.21,    8.57,    7.70,    7.37,    5.54,    7.47,    6.85,    8.12,    7.69,    8.72,    7.47,    9.37
197909,   -0.06,   -0.27,   -0.51,   -0.06,   -0.46,   -0.47,    0.34,   -0.71,   -0.21,    0.20,   -0.05,   -0.87,   -0.74,   -0.25,    0.74,   -0.05,   -0.80,   -0.64
197910,   -9.58,   -8.99,  -10.19,   -9.64,   -9.23,   -8.58,   -9.54,  -10.55,  -10.53,   -8.13,   -9.40,   -9.05,   -8.24,   -8.87,   -9.75,   -9.34,  -10.46,  -10.61
197911,    5.72,    6.21,    8.59,    5.63,    6.16,    5.91,    7.56,    8.67,    5.45,    5.95,    6.00,    6.33,    6.07,    5.77,    6.70,    8.39,    8.36,    8.90
197912,    7.20,    5.99,    7.10,    7.61,    6.18,    5.80,    6.28,    7.27,    8.50,    6.08,    5.85,    6.51,    5.54,    6.02,    5.85,    6.69,    5.83,    8.33
198001,   12.39,    8.33,    9.11,   13.41,    8.87,    8.63,    6.72,   10.40,   15.25,   10.28,    9.05,    8.68,    7.51,    9.58,    7.36,    6.12,    9.33,   11.19
198002,    0.25,   -2.69,   -1.29,    0.90,   -2.30,   -2.42,   -2.41,   -1.11,    1.93,   -0.85,   -1.87,   -2.73,   -1.72,   -3.01,   -3.17,   -1.69,   -1.42,   -0.89
198003,  -16.88,  -14.64,  -16.29,  -17.60,  -14.56,  -14.61,  -15.08,  -16.70,  -19.22,  -14.89,  -14.55,  -14.57,  -14.23,  -14.92,  -14.80,  -15.33,  -15.30,  -17.73
198004,    4.84,    5.37,    5.36,    4.53,    5.61,    5.21,    6.02,    4.93,    3.70,    5.92,    5.82,    5.40,    5.51,    4.95,    5.66,    6.36,    4.26,    5.41
198005,    6.65,    7.22,    8.13,    6.43,    7.62,    7.13,    7.51,    8.08,    6.47,    6.36,    7.35,    7.90,    6.90,    7.32,    6.70,    8.26,    9.09,    7.34
198006,    3.61,    4.20,    4.55,    3.50,    3.58,    4.43,    4.77,    4.45,    3.41,    3.65,    3.94,    3.21,    4.63,    4.26,    4.75,    4.79,    3.63,    5.05
198007,    8.04,    9.72,   11.81,    7.93,    9.17,    9.53,   10.88,   11.78,    8.15,    7.46,    8.40,    9.91,    8.85,   10.18,    9.88,   11.86,   11.73,   11.83
198008,    6.65,    6.77,    7.32,    7.11,    6.02,    6.54,    6.80,    7.64,    7.34,    6.59,    5.08,    6.91,    6.51,    6.57,    7.03,    6.57,    7.03,    8.19
198009,    5.48,    3.60,    5.34,    5.72,    4.01,    3.62,    4.61,    5.30,    7.25,    2.43,    4.68,    3.37,    3.05,    4.15,    3.79,    5.42,    4.93,    5.63
198010,    3.94,    3.79,    4.67,    4.20,    3.74,    3.53,    4.04,    4.80,    4.81,    2.89,    3.05,    4.39,    3.50,    3.56,    3.68,    4.39,    3.90,    5.61
198011,    5.73,    6.14,    8.37,    6.32,    5.08,    5.64,    6.92,    8.93,    6.62,    5.68,    3.71,    6.38,    4.85,    6.38,    6.79,    7.04,    8.30,    9.51
198012,   -3.61,   -2.65,   -3.07,   -4.19,   -2.62,   -2.22,   -2.61,   -3.24,   -4.61,   -3.28,   -1.67,   -3.53,   -2.39,   -2.07,   -2.55,   -2.67,   -2.41,   -4.00
198101,    1.73,    0.60,   -1.10,    1.88,    1.24,    0.20,   -0.11,   -1.18,    2.39,    0.80,    1.22,    1.26,    0.56,   -0.15,    0.69,   -0.92,   -0.26,   -2.01
198102,    0.32,    1.51,    0.98,    0.02,    1.34,    1.64,    1.32,    0.88,    0.03,   -0.01,    1.32,    1.35,    1.80,    1.48,    1.43,    1.20,    0.98,    0.79
198103,    7.89,    7.61,    7.81,    7.64,    8.43,    7.04,    7.80,    7.94,    6.91,    9.20,    8.70,    8.17,    6.65,    7.42,    8.08,    7.51,    7.36,    8.46
198104,    2.60,    2.50,    4.21,    2.61,    2.88,    1.87,    3.44,    4.33,    2.68,    2.48,    2.56,    3.18,    1.57,    2.16,    2.97,    3.92,    4.52,    4.17
198105,    3.73,    2.60,    3.35,    4.31,    2.46,    2.81,    2.40,    3.49,    4.73,    3.43,    1.83,    3.05,    2.55,    3.06,    1.79,    3.01,    3.67,    3.33
198106,   -0.76,    0.43,   -1.50,   -1.22,    0.76,    0.59,   -1.24,   -1.18,   -2.30,    1.04,    0.72,    0.79,    1.08,    0.10,   -0.21,   -2.26,   -1.20,   -1.16
198107,   -2.15,   -2.00,   -2.49,   -2.41,   -1.82,   -1.96,   -2.12,   -2.48,   -2.87,   -1.32,   -1.27,   -2.36,   -1.88,   -2.03,   -1.68,   -2.50,   -3.39,   -1.88
198108,   -7.93,   -6.29,   -8.78,   -8.53,   -6.40,   -5.89,   -7.13,   -9.19,   -9.29,   -6.72,   -5.82,   -6.96,   -5.74,   -6.03,   -6.42,   -7.75,   -8.26,   -9.82
198109,   -9.70,   -6.94,   -8.58,  -10.26,   -7.63,   -6.86,   -7.09,   -8.96,  -11.53,   -7.30,   -7.77,   -7.50,   -6.40,   -7.33,   -6.48,   -7.63,   -8.08,   -9.56
198110,    6.03,    6.87,    9.44,    6.02,    5.87,    7.23,    8.49,    9.46,    5.70,    6.75,    6.09,    5.67,    7.15,    7.30,    7.45,    9.40,    8.81,    9.90
198111,    0.09,    3.08,    2.75,   -0.67,    3.20,    3.14,    2.72,    2.60,   -2.23,    2.91,    2.75,    3.64,    2.96,    3.32,    2.28,    3.12,    2.76,    2.48
198112,   -2.69,   -1.82,   -1.72,   -3.01,   -2.05,   -1.52,   -1.35,   -1.99,   -3.42,   -2.06,   -1.57,   -2.52,   -0.62,   -2.43,   -1.69,   -1.05,   -0.88,   -2.75
198201,   -1.23,   -1.68,   -2.84,   -1.13,   -0.96,   -1.84,   -3.29,   -2.50,   -1.41,   -0.47,   -1.61,   -0.34,   -1.57,   -2.11,   -2.85,   -3.69,   -2.56,   -2.46
198202,   -3.75,   -3.24,   -5.77,   -4.29,   -2.55,   -2.94,   -4.66,   -5.97,   -5.08,   -2.47,   -1.89,   -3.19,   -3.12,   -2.75,   -3.98,   -5.27,   -5.63,   -6.20
198203,   -0.95,   -0.58,   -1.20,   -1.28,    0.23,   -0.80,   -0.87,   -1.39,   -1.78,   -0.15,    0.18,    0.28,   -0.65,   -0.95,   -1.07,   -0.70,   -0.58,   -1.95
198204,    4.44,    5.85,    6.32,    4.22,    5.22,    6.12,    5.45,    6.83,    3.77,    5.26,    5.20,    5.23,    5.91,    6.33,    5.93,    5.02,    6.54,    7.03
198205,   -2.04,   -2.27,   -2.63,   -1.96,   -2.51,   -2.10,   -2.20,   -2.78,   -2.14,   -1.56,   -2.30,   -2.71,   -1.92,   -2.27,   -2.14,   -2.26,   -2.71,   -2.82
198206,   -3.63,   -2.58,   -3.22,   -3.92,   -2.99,   -2.00,   -2.80,   -3.45,   -4.59,   -2.38,   -2.62,   -3.34,   -1.33,   -2.67,   -2.97,   -2.64,   -2.09,   -4.37
198207,   -1.87,   -1.41,   -1.65,   -2.08,   -1.21,   -1.47,   -1.33,   -1.79,   -2.73,   -0.39,   -1.10,   -1.33,   -2.14,   -0.82,   -1.36,   -1.31,   -2.21,   -1.50
198208,    5.16,    7.44,    7.14,    4.73,    6.85,    7.48,    8.13,    6.68,    4.33,    5.75,    6.80,    6.92,    7.21,    7.75,    7.95,    8.29,    7.37,    6.19
198209,    2.49,    3.73,    3.38,    2.28,    3.54,    3.76,    3.85,    3.07,    2.05,    2.89,    3.28,    3.83,    3.73,    3.78,    3.55,    4.12,    3.68,    2.65
198210,   11.82,   12.55,   16.45,   11.92,   11.95,   12.18,   14.51,   16.90,   11.81,   12.18,   11.45,   12.51,   11.37,   12.98,   13.55,   15.35,   15.93,   17.58
198211,    9.81,    9.01,    9.47,   10.02,    9.49,    9.00,    8.24,    9.84,   10.32,    9.25,    9.04,   10.02,    9.57,    8.45,    7.87,    8.56,    8.28,   10.92
198212,    2.62,    2.68,    1.31,    2.74,    2.15,    2.87,    2.28,    1.11,    3.18,    1.63,    2.17,    2.12,    3.25,    2.50,    2.84,    1.80,    1.16,    1.08
198301,   15.11,    7.72,    7.73,   17.03,    7.99,    7.65,    6.82,    8.41,   19.54,   10.71,    8.07,    7.90,    7.53,    7.78,    7.68,    6.06,    6.50,    9.74
198302,    6.18,    5.55,    4.95,    6.13,    6.01,    5.19,    6.34,    4.41,    6.21,    5.95,    6.35,    5.62,    5.83,    4.56,    6.41,    6.27,    3.23,    5.24
198303,    5.52,    4.81,    4.02,    5.46,    5.73,    4.67,    4.31,    3.82,    5.26,    5.98,    5.72,    5.75,    5.45,    3.92,    4.10,    4.50,    4.83,    3.12
198304,    8.64,    7.13,    7.27,    9.01,    6.61,    7.77,    6.56,    7.69,    9.42,    8.00,    7.29,    5.82,    7.91,    7.62,    6.95,    6.23,    7.31,    7.96
198305,   11.49,    7.33,    7.53,   12.31,    8.39,    7.61,    5.59,    8.31,   13.13,   10.30,    8.52,    8.23,    7.40,    7.82,    5.57,    5.62,    7.36,    8.97
198306,    5.51,    4.57,    4.51,    6.13,    4.25,    4.12,    4.79,    4.41,    6.96,    4.09,    3.29,    5.34,    4.19,    4.06,    4.86,    4.74,    4.35,    4.46
198307,   -1.89,   -1.74,   -2.52,   -2.21,   -0.85,   -1.96,   -2.17,   -2.52,   -1.83,   -2.97,   -0.57,   -1.16,   -1.35,   -2.62,   -1.85,   -2.52,   -2.04,   -2.81
198308,   -4.52,   -2.10,   -2.71,   -4.96,   -2.17,   -2.76,   -1.63,   -2.94,   -5.57,   -3.74,   -2.71,   -1.58,   -3.01,   -2.50,   -1.24,   -2.07,   -2.35,   -3.31
198309,   -1.46,    2.32,    1.02,   -1.96,    1.76,    1.79,    2.28,    0.73,   -3.17,    0.42,    0.60,    3.03,    1.35,    2.25,    2.70,    1.82,    1.51,    0.25
198310,   -6.40,   -4.23,   -6.56,   -6.79,   -4.46,   -4.65,   -4.46,   -6.93,   -7.61,   -5.17,   -4.79,   -4.10,   -4.76,   -4.54,   -3.47,   -5.55,   -5.16,   -8.02
198311,    1.82,    4.57,    4.19,    1.49,    3.67,    4.78,    4.45,    4.10,    0.82,    2.81,    3.14,    4.24,    4.24,    5.36,    4.47,    4.44,    4.28,    3.99
198312,   -3.01,   -1.25,   -1.80,   -3.43,   -1.10,   -1.37,   -0.95,   -2.29,   -4.20,   -1.93,   -1.27,   -0.91,   -1.01,   -1.75,   -1.35,   -0.50,   -0.91,   -3.14
198401,    1.34,   -0.27,   -1.46,    1.69,   -0.18,   -0.20,   -0.90,   -1.47,    1.98,    1.14,   -0.08,   -0.28,   -0.48,    0.09,   -0.42,   -1.43,   -0.93,   -1.79
198402,   -5.56,   -5.37,   -6.31,   -5.65,   -5.38,   -5.36,   -5.29,   -6.64,   -6.23,   -4.56,   -5.18,   -5.59,   -5.00,   -5.75,   -5.18,   -5.41,   -5.95,   -7.06
198403,    0.84,    0.79,    0.41,    0.67,    1.32,    0.79,    0.38,    0.48,    0.08,    1.78,    1.56,    1.05,    1.30,    0.26,    0.53,    0.22,    1.17,    0.05
198404,   -3.29,   -0.88,   -0.81,   -3.67,   -1.67,   -0.55,   -0.71,   -0.92,   -4.74,   -1.66,   -1.77,   -1.56,   -0.70,   -0.38,   -0.88,   -0.53,   -0.03,   -1.47
198405,   -5.30,   -4.32,   -4.32,   -5.49,   -4.24,   -4.53,   -4.28,   -4.34,   -6.11,   -4.31,   -4.57,   -3.87,   -4.53,   -4.53,   -4.31,   -4.25,   -3.95,   -4.58
198406,    0.67,    2.53,    2.97,    0.47,    1.70,    2.38,    3.49,    2.75,    0.13,    1.10,    1.47,    1.95,    1.72,    3.06,    3.43,    3.56,    3.80,    2.11
198407,   -6.49,   -3.14,   -3.19,   -7.19,   -3.55,   -2.92,   -2.84,   -3.57,   -7.74,   -5.97,   -3.75,   -3.31,   -3.10,   -2.76,   -3.48,   -2.27,   -2.62,   -4.13
198408,    8.12,   10.83,   11.25,    7.61,   10.50,   11.02,   10.59,   11.41,    7.15,    8.63,   10.10,   10.96,   10.54,   11.45,   10.27,   10.88,   10.85,   11.74
198409,   -0.81,    0.27,   -0.46,   -1.30,    0.94,    0.32,   -0.08,   -0.73,   -1.85,   -0.11,    1.10,    0.76,    0.41,    0.24,   -0.38,    0.18,    0.40,   -1.39
198410,   -3.96,   -1.06,   -0.81,   -4.75,   -1.24,   -0.94,   -0.39,   -1.09,   -5.49,   -3.19,   -0.89,   -1.66,   -1.41,   -0.52,   -0.69,   -0.12,   -1.27,   -0.99
198411,   -5.39,   -1.99,   -2.36,   -6.12,   -2.21,   -2.02,   -2.19,   -2.43,   -7.19,   -3.85,   -2.61,   -1.73,   -2.00,   -2.04,   -2.20,   -2.17,   -0.84,   -3.36
198412,   -0.88,    1.58,    1.94,   -1.18,    0.78,    1.63,    2.09,    1.72,   -1.54,   -0.43,    0.27,    1.38,    1.45,    1.80,    1.66,    2.48,    2.08,    1.51
198501,   13.27,   11.39,   13.33,   13.61,   11.80,   11.43,   11.29,   14.12,   14.19,   12.41,   11.97,   11.59,   11.93,   10.99,   11.10,   11.45,   12.56,   15.02
198502,    5.71,    3.32,    4.55,    6.23,    3.97,    2.97,    3.72,    4.70,    6.76,    5.13,    3.77,    4.20,    2.89,    3.04,    3.20,    4.19,    3.75,    5.25
198503,   -1.58,   -0.86,   -1.34,   -1.47,   -1.97,   -0.48,   -1.12,   -1.24,   -0.79,   -2.86,   -2.01,   -1.91,   -0.28,   -0.65,   -0.60,   -1.57,   -1.39,   -1.16
198504,   -2.15,   -0.99,   -0.74,   -2.36,   -1.37,   -0.55,   -0.58,   -1.18,   -3.01,   -1.02,   -1.37,   -1.36,   -0.54,   -0.57,   -1.59,    0.31,   -0.50,   -1.58
198505,    0.68,    3.82,    4.31,    0.00,    3.38,    3.68,    4.10,    4.51,   -0.62,    1.26,    3.18,    3.60,    3.63,    3.73,    4.38,    3.86,    4.29,    4.63
198506,    0.17,    1.23,    1.48,   -1.64,    3.80,    1.39,    2.15,    1.12,   -2.41,   -0.09,    6.81,    0.23,    0.93,    1.79,    1.92,    2.34,    2.02,    0.59
198507,    1.81,    1.56,    1.64,    1.86,    1.62,    1.57,    1.84,    1.40,    1.89,    1.78,    1.58,    1.65,    1.92,    1.22,    1.43,    2.22,    0.81,    1.76
198508,   -1.03,   -0.57,   -0.74,   -1.08,   -0.39,   -0.65,   -0.86,   -0.77,   -0.98,   -1.31,   -0.80,   -0.01,   -0.74,   -0.56,   -1.06,   -0.68,   -0.95,   -0.65
198509,   -6.77,   -4.56,   -5.58,   -7.06,   -5.19,   -4.36,   -4.84,   -5.73,   -7.39,   -6.26,   -5.32,   -5.07,   -4.69,   -4.03,   -4.41,   -5.24,   -4.24,   -6.63
198510,    0.09,    3.18,    3.42,   -0.26,    2.83,    2.98,    3.41,    3.28,   -1.16,    1.91,    1.88,    3.69,    3.44,    2.53,    3.03,    3.75,    4.73,    2.39
198511,    4.20,    6.10,    7.03,    3.77,    5.56,    6.61,    5.95,    7.68,    2.99,    5.64,    6.31,    4.90,    7.06,    6.18,    6.45,    5.48,    7.30,    7.91
198512,    2.00,    3.47,    3.79,    1.50,    3.74,    3.40,    3.82,    3.87,    0.98,    2.71,    4.44,    3.11,    3.18,    3.60,    4.05,    3.60,    4.21,    3.67
198601,    5.08,    2.36,    2.64,    5.68,    1.91,    2.29,    2.39,    3.10,    6.66,    3.41,    2.16,    1.68,    1.61,    2.95,    3.29,    1.54,    2.64,    3.38
198602,    5.51,    6.45,    7.43,    5.35,    5.71,    6.97,    7.06,    7.48,    6.08,    3.69,    6.27,    5.22,    7.02,    6.92,    6.81,    7.30,    7.02,    7.76
198603,    4.57,    4.85,    5.68,    4.72,    3.86,    5.12,    5.21,    5.96,    5.03,    4.01,    3.86,    3.87,    4.28,    5.92,    5.42,    5.02,    5.84,    6.04
198604,    1.16,    1.14,    1.98,    1.30,    0.46,    1.29,    1.57,    2.16,    2.00,   -0.26,    0.48,    0.45,    1.24,    1.34,    1.62,    1.53,    1.36,    2.64
198605,    2.65,    4.48,    3.96,    2.47,    4.75,    3.41,    4.34,    4.11,    2.52,    2.37,    3.48,    5.89,    3.20,    3.61,    5.09,    3.63,    4.51,    3.86
198606,    0.30,    0.81,    0.72,    0.47,    0.08,    0.76,    0.52,    1.04,    0.80,   -0.22,   -0.52,    0.63,    1.27,    0.27,    1.11,   -0.05,    0.72,    1.24
198607,   -8.18,   -7.12,   -8.63,   -8.38,   -7.08,   -7.41,   -7.00,   -9.18,   -8.90,   -7.07,   -7.27,   -6.84,   -7.30,   -7.53,   -6.80,   -7.17,   -7.79,  -10.23
198608,    1.11,    3.60,    2.45,    0.64,    3.78,    3.45,    3.14,    2.16,   -0.17,    2.69,    3.24,    4.44,    3.41,    3.49,    3.05,    3.22,    2.57,    1.86
198609,   -5.68,   -5.90,   -7.55,   -5.63,   -5.44,   -6.03,   -7.37,   -7.40,   -5.77,   -5.27,   -5.91,   -4.86,   -5.63,   -6.47,   -6.71,   -7.95,   -7.27,   -7.50
198610,    2.18,    3.12,    4.00,    2.03,    2.74,    2.98,    3.90,    4.05,    1.85,    2.47,    2.85,    2.62,    2.96,    3.00,    3.93,    3.88,    4.29,    3.86
198611,   -1.47,    0.57,   -0.16,   -1.67,   -0.21,    0.52,    0.90,   -0.54,   -2.36,    0.01,   -0.61,    0.28,    0.62,    0.41,    0.97,    0.83,    0.52,   -1.34
198612,   -4.24,   -2.64,   -3.50,   -4.56,   -2.62,   -2.63,   -3.23,   -3.49,   -4.82,   -3.93,   -2.81,   -2.39,   -2.87,   -2.37,   -2.89,   -3.53,   -3.14,   -3.76
198701,   11.29,   11.33,   12.17,   11.27,   11.30,   11.14,   11.96,   12.22,   11.29,   11.22,   11.38,   11.20,   11.42,   10.82,   11.86,   12.04,   11.40,   12.84
198702,    9.32,    5.63,    7.66,    9.73,    6.11,    5.91,    7.10,    7.61,   10.66,    7.48,    7.49,    4.40,    5.72,    6.11,    6.30,    7.80,    7.33,    7.82
198703,    4.79,    2.66,    1.80,    5.31,    2.55,    2.80,    2.53,    1.52,    6.33,    2.84,    2.54,    2.56,    2.86,    2.72,    2.50,    2.55,    1.75,    1.34
198704,   -0.61,   -2.75,   -3.16,   -0.18,   -2.21,   -3.22,   -3.23,   -2.93,    0.40,   -1.58,   -2.46,   -1.90,   -3.59,   -2.81,   -2.62,   -3.77,   -3.65,   -2.39
198705,    0.98,    0.32,   -0.08,    0.88,    1.06,    0.54,   -0.62,    0.18,    0.92,    0.79,    1.41,    0.62,    0.55,    0.53,   -0.44,   -0.77,    0.21,    0.16
198706,    2.26,    3.40,    3.62,    2.07,    3.24,    3.52,    4.06,    3.14,    1.84,    2.62,    3.07,    3.45,    3.78,    3.24,    3.12,    4.89,    3.71,    2.72
198707,    4.02,    3.77,    3.03,    4.06,    4.01,    3.59,    3.18,    3.10,    4.47,    2.92,    3.77,    4.29,    3.67,    3.48,    3.60,    2.84,    2.99,    3.19
198708,    0.32,    2.53,    3.28,    0.15,    1.10,    3.00,    3.69,    2.93,   -0.57,    2.16,    1.17,    1.02,    3.04,    2.96,    3.15,    4.13,    4.83,    1.53
198709,   -1.48,   -1.16,   -1.71,   -1.60,   -1.32,   -0.78,   -1.79,   -1.50,   -2.00,   -0.47,   -0.87,   -1.81,   -0.44,   -1.18,   -1.24,   -2.24,   -1.51,   -1.49
198710,  -29.74,  -25.97,  -28.58,  -30.24,  -26.86,  -25.62,  -27.06,  -28.94,  -30.82,  -28.63,  -27.30,  -26.37,  -25.69,  -25.53,  -26.26,  -27.72,  -27.91,  -29.70
198711,   -6.16,   -4.11,   -6.74,   -6.52,   -4.57,   -3.60,   -4.59,   -7.57,   -6.82,   -5.71,   -4.35,   -4.80,   -3.73,   -3.44,   -4.47,   -4.69,   -6.57,   -8.31
198712,    0.88,    6.38,    5.81,    0.13,    5.07,    6.46,    6.60,    5.61,   -0.91,    2.97,    4.54,    5.65,    6.81,    6.05,    6.98,    6.28,    6.26,    5.13
198801,    9.31,    5.89,    6.10,    9.53,    7.23,    5.74,    5.66,    6.38,   10.27,    7.54,    8.25,    6.10,    5.98,    5.45,    5.98,    5.40,    6.60,    6.22
198802,    5.40,    8.04,    8.28,    5.27,    6.31,    8.93,    7.24,    8.83,    5.20,    5.46,    5.99,    6.67,    8.17,    9.82,    7.61,    6.94,    8.35,    9.19
198803,    4.31,    3.07,    3.85,    4.42,    3.89,    2.82,    3.66,    3.58,    4.30,    4.76,    3.79,    4.00,    2.64,    3.02,    2.62,    4.50,    3.28,    3.81
198804,    1.71,    1.63,    0.98,    1.72,    1.76,    1.65,    1.60,    0.64,    1.86,    1.36,    1.66,    1.88,    1.38,    1.95,    1.34,    1.82,    1.11,    0.29
198805,   -1.65,   -1.20,   -1.67,   -1.72,   -1.54,   -1.00,   -1.04,   -1.92,   -1.89,   -1.28,   -1.35,   -1.75,   -1.09,   -0.89,   -1.04,   -1.05,   -2.48,   -1.51
198806,    4.30,    6.52,    6.25,    4.06,    5.71,    6.49,    5.98,    6.76,    3.55,    5.41,    5.46,    5.98,    6.63,    6.33,    7.17,    5.02,    7.47,    6.24
198807,    0.05,   -0.50,   -0.66,    0.23,   -0.44,   -0.79,   -0.39,   -0.85,    0.70,   -1.18,   -0.88,    0.02,    0.08,   -1.60,   -0.54,   -0.27,   -1.13,   -0.58
198808,   -2.86,   -1.63,   -2.24,   -3.13,   -1.70,   -1.85,   -1.46,   -2.42,   -3.97,   -0.64,   -1.52,   -1.88,   -1.11,   -2.54,   -0.98,   -1.87,   -2.28,   -2.54
198809,    1.20,    3.27,    3.41,    0.97,    3.15,    2.50,    3.69,    3.37,    0.68,    1.84,    2.33,    4.00,    2.27,    2.71,    3.90,    3.51,    3.34,    3.39
198810,   -2.84,   -0.10,   -0.36,   -3.19,   -0.46,    0.22,   -0.67,   -0.37,   -3.80,   -1.37,   -1.13,    0.23,   -0.01,    0.44,   -1.06,   -0.34,    0.84,   -1.50
198811,   -5.30,   -3.08,   -3.29,   -5.45,   -3.65,   -3.45,   -3.29,   -3.07,   -6.18,   -3.32,   -4.53,   -2.73,   -3.60,   -3.31,   -2.77,   -3.73,   -3.04,   -3.11
198812,    1.93,    2.93,    3.46,    1.64,    3.37,    2.47,    3.16,    3.67,    0.99,    3.52,    3.38,    3.37,    2.80,    2.16,    3.31,    3.04,    3.38,    3.93
198901,    7.99,    5.15,    5.51,    8.49,    5.64,    4.99,    5.35,    5.33,    8.81,    7.55,    5.48,    5.81,    4.66,    5.30,    4.73,    5.90,    5.39,    5.27
198902,    0.38,    0.57,    0.52,    0.45,    0.33,    0.46,    0.63,    0.52,    0.71,   -0.30,    0.08,    0.60,    0.55,    0.37,    0.74,    0.54,   -0.87,    1.81
198903,    1.63,    2.21,    2.17,    1.38,    2.27,    2.20,    2.46,    2.19,    1.29,    1.65,    2.89,    1.63,    2.42,    1.98,    2.84,    2.14,    1.75,    2.60
198904,    3.02,    3.93,    4.36,    3.11,    2.78,    3.83,    4.64,    4.44,    3.27,    2.65,    2.59,    2.99,    3.44,    4.20,    5.15,    4.20,    5.74,    3.21
198905,    2.50,    3.76,    3.87,    2.11,    3.88,    3.95,    3.19,    4.48,    1.95,    2.57,    4.45,    3.30,    3.70,    4.19,    3.89,    2.59,    3.84,    5.07
198906,   -1.64,   -0.51,   -1.52,   -1.56,   -1.30,   -0.08,   -1.52,   -1.41,   -1.76,   -1.00,   -2.04,   -0.54,    0.35,   -0.50,   -1.24,   -1.76,   -1.26,   -1.55
198907,    1.74,    4.62,    4.86,    1.26,    4.02,    4.20,    4.98,    5.22,    0.92,    2.27,    3.93,    4.13,    3.83,    4.60,    5.85,    4.15,    4.90,    5.50
198908,    1.00,    2.08,    3.08,    0.92,    1.36,    1.84,    3.22,    2.99,    0.47,    2.26,    1.36,    1.36,    1.76,    1.93,    3.20,    3.25,    3.44,    2.60
198909,    0.74,   -0.27,    0.49,    0.79,    0.08,   -0.62,    0.17,    0.81,    1.22,   -0.49,    0.48,   -0.41,   -0.35,   -0.90,    0.51,   -0.14,   -0.17,    1.68
198910,   -4.86,   -4.97,   -5.04,   -5.03,   -4.43,   -4.79,   -4.86,   -5.40,   -5.32,   -4.18,   -4.08,   -4.86,   -3.85,   -5.81,   -5.42,   -4.33,   -4.73,   -6.00
198911,   -2.15,    0.42,   -0.15,   -2.38,   -0.23,    0.57,   -0.16,   -0.19,   -3.02,   -0.49,   -1.09,    0.82,    0.80,    0.32,   -0.25,   -0.08,    0.01,   -0.36
