This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201810 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196410,    1.67,    1.21,    0.09,    2.48,    2.06,    0.00,    1.98,   -0.36,    0.80,    3.24,    0.81,    2.58,    0.16,   -0.31,    2.35,    1.64,   -0.14,   -0.52
196411,    0.60,    0.44,    0.38,    0.18,    1.06,   -0.40,    1.05,    0.37,   -3.67,    1.88,    1.05,    1.06,   -1.04,    0.88,    1.75,    0.41,    2.29,   -1.03
196412,   -0.98,    0.42,    0.98,   -1.38,   -1.21,    1.78,    0.50,    0.97,   -1.03,   -1.52,   -0.56,   -1.48,    2.41,    0.54,   -0.07,    1.01,    1.00,    0.95
196501,    4.70,    2.02,    5.40,    5.72,    1.03,    2.14,    4.77,    5.67,    7.61,    4.93,    3.61,   -0.03,    1.21,    3.99,    5.13,    4.46,    4.96,    6.21
196502,    1.02,    0.18,    1.05,    2.20,   -1.69,    1.23,    1.36,    0.93,    1.34,    2.58,   -0.27,   -2.30,    0.99,    1.70,    1.27,    1.44,    0.20,    1.48
196503,   -0.78,   -1.22,   -1.26,   -1.33,   -1.89,   -0.86,   -0.54,   -1.34,   -1.01,   -1.47,   -0.16,   -2.64,   -1.44,    0.25,   -0.03,   -1.00,   -2.29,   -0.63
196504,    3.21,    2.80,    4.35,    3.99,    1.76,    3.54,    3.21,    4.56,    4.14,    3.93,    2.34,    1.50,    4.44,    1.84,    2.73,    3.64,    3.31,    5.47
196505,    0.66,   -0.01,   -0.67,   -0.54,    0.46,    0.43,   -1.15,   -0.46,   -4.39,    1.12,    2.01,   -0.24,    1.11,   -0.88,   -0.90,   -1.37,    0.72,   -1.31
196506,   -6.16,   -3.97,   -5.49,   -7.46,   -3.26,   -4.44,   -5.12,   -5.50,   -8.03,   -7.23,   -4.73,   -2.59,   -4.36,   -4.59,   -4.75,   -5.46,   -4.89,   -5.94
196507,    3.58,    0.88,    1.65,    4.85,    0.25,    2.63,    0.91,    1.99,    4.56,    4.99,    2.59,   -0.74,    2.67,    2.61,    1.36,    0.45,    2.21,    1.89
196508,    2.04,    2.09,    4.37,    1.88,    1.68,    2.64,    2.44,    4.92,    3.93,    0.97,    2.17,    1.46,    2.54,    2.71,    2.46,    2.42,    7.49,    3.66
196509,    4.07,    2.57,    3.93,    4.11,    2.37,    3.52,    3.02,    4.14,    3.85,    4.23,    4.04,    1.64,    2.84,    3.99,    2.86,    3.18,    4.19,    4.11
196510,    2.75,    1.34,    4.64,    3.52,    1.11,    1.59,    2.70,    5.09,    4.41,    3.11,    2.13,    0.65,    1.55,    1.61,    2.44,    2.97,    6.69,    4.27
196511,    1.33,   -0.82,    0.69,    2.42,   -1.23,   -0.23,    1.55,    0.23,    3.50,    1.92,    0.46,   -2.01,    0.46,   -0.69,    0.71,    2.42,    1.87,   -0.62
196512,    2.13,    1.18,    0.70,    3.01,    0.93,    1.72,    0.76,    0.79,    7.54,    0.87,    1.40,    0.71,    2.57,    1.13,    1.16,    0.35,    2.14,    0.07
196601,    3.78,   -0.76,    1.26,    4.63,    0.04,   -0.47,    0.35,    1.43,    7.00,    3.44,    3.08,   -1.39,    0.69,   -1.28,    0.07,    0.65,    2.69,    0.74
196602,   -1.13,   -1.75,   -0.30,   -0.29,   -1.07,   -2.76,   -1.36,   -0.20,    4.78,   -2.94,   -1.83,   -0.69,   -0.84,   -4.12,   -2.01,   -0.71,    0.41,   -0.53
196603,   -3.18,   -2.56,   -1.01,   -3.29,   -3.57,   -1.33,   -1.45,   -1.11,   -4.28,   -2.73,   -3.09,   -3.81,   -1.83,   -0.96,   -2.26,   -0.65,    0.15,   -1.82
196604,    2.35,    2.19,    2.45,    2.19,    1.95,    3.04,    2.82,    2.04,    2.23,    2.16,    2.50,    1.68,    2.26,    3.60,    1.62,    3.99,    4.37,    0.71
196605,   -6.79,   -4.41,   -4.92,   -7.68,   -4.88,   -5.05,   -4.82,   -4.56,  -10.66,   -6.02,   -6.04,   -4.31,   -4.91,   -5.16,   -3.34,   -6.23,   -5.19,   -4.18
196606,   -1.15,   -0.72,   -1.57,   -0.47,   -1.44,    0.13,   -1.54,   -1.48,    0.92,   -1.21,   -1.71,   -1.30,   -1.17,    1.05,   -1.17,   -1.90,   -0.87,   -1.84
196607,   -0.89,   -1.19,   -1.34,   -1.43,   -1.16,   -0.61,   -0.79,   -1.63,   -2.41,   -0.90,   -0.49,   -1.54,   -0.57,   -0.65,   -1.64,   -0.15,   -2.23,   -1.36
196608,   -8.00,   -6.31,   -8.17,   -8.92,   -6.01,   -7.43,   -7.41,   -8.18,  -11.22,   -7.71,   -7.32,   -5.26,   -8.77,   -6.10,   -6.46,   -8.12,   -8.41,   -8.08
196609,    1.52,   -0.38,   -1.61,   -1.42,    0.47,    1.59,   -2.00,   -1.63,   -1.94,   -1.16,    3.64,   -1.31,    1.62,    1.56,   -2.61,   -1.54,   -1.29,   -1.78
196610,    6.57,    6.32,    1.98,    2.74,    8.18,    6.41,    2.74,    1.75,    0.16,    4.04,    9.20,    7.58,    7.28,    5.59,    2.54,    2.88,    2.79,    1.29
