Date,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
10/30/1992,-0.64%,0.94%,-2.63%,3.35%,-4.84%
11/30/1992,1.61%,0.45%,-2.76%,-5.00%,11.52%
12/31/1992,2.06%,0.64%,-1.58%,9.90%,2.28%
01/29/1993,2.44%,-0.06%,-2.26%,12.26%,4.20%
02/26/1993,5.44%,6.73%,-7.31%,21.78%,1.64%
03/31/1993,-0.50%,0.85%,-2.12%,-2.57%,-0.50%
04/30/1993,-1.10%,-0.80%,-4.33%,0.74%,-0.61%
05/31/1993,2.92%,3.57%,0.54%,-2.12%,7.22%
06/30/1993,1.56%,-1.40%,-5.90%,15.51%,2.36%
07/30/1993,3.20%,1.69%,2.49%,9.49%,1.89%
08/31/1993,6.83%,-0.40%,17.13%,16.65%,5.61%
09/30/1993,-2.18%,-3.42%,-9.33%,1.29%,2.94%
10/29/1993,4.48%,3.77%,13.25%,8.89%,-4.03%
11/30/1993,0.85%,6.46%,-11.42%,-1.95%,1.38%
12/31/1993,6.19%,4.97%,17.95%,9.88%,-3.06%
01/31/1994,1.13%,-1.13%,11.18%,2.24%,-2.89%
02/28/1994,-4.76%,0.66%,-10.22%,-25.87%,4.76%
03/31/1994,-6.45%,-1.54%,-10.21%,-21.80%,-1.54%
04/29/1994,-0.27%,-1.99%,3.93%,-3.81%,2.99%
05/31/1994,0.45%,6.32%,-7.43%,-2.89%,-2.59%
06/30/1994,-1.27%,-1.27%,-10.23%,2.56%,2.29%
07/29/1994,-1.96%,-2.64%,0.70%,-6.21%,0.95%
08/31/1994,1.98%,3.93%,1.39%,-1.44%,1.39%
09/30/1994,2.76%,3.84%,-4.34%,9.03%,0.72%
10/31/1994,1.65%,4.22%,-3.10%,1.94%,-0.20%
11/30/1994,2.22%,6.86%,-0.04%,-1.66%,-2.13%
12/30/1994,1.85%,0.88%,3.53%,-0.20%,4.23%
01/31/1995,0.80%,2.18%,1.23%,-4.99%,2.54%
02/28/1995,-2.47%,-1.65%,-0.53%,-15.00%,4.87%
03/31/1995,4.19%,-1.95%,6.35%,0.26%,18.11%
04/28/1995,-1.04%,1.32%,-7.56%,-0.50%,-1.33%
05/31/1995,1.09%,-0.94%,0.37%,13.37%,-4.53%
06/30/1995,1.03%,2.00%,4.49%,-5.10%,1.61%
07/31/1995,-1.45%,-1.08%,-0.40%,-2.07%,-2.44%
08/31/1995,-1.56%,-1.51%,-0.66%,6.92%,-9.41%
09/29/1995,4.51%,1.88%,5.55%,7.82%,6.22%
10/31/1995,1.76%,0.52%,-3.01%,5.35%,4.82%
11/30/1995,3.28%,1.34%,1.26%,15.25%,-1.31%
12/29/1995,1.56%,1.30%,-0.63%,4.46%,1.32%
01/31/1996,-2.70%,-7.85%,5.06%,3.14%,-3.10%
02/29/1996,-2.28%,3.76%,1.47%,-20.30%,-2.18%
03/29/1996,2.50%,3.68%,2.86%,-4.55%,5.75%
04/30/1996,4.12%,6.38%,5.22%,-1.20%,3.19%
05/31/1996,0.24%,-1.72%,-0.27%,-0.93%,5.50%
06/28/1996,1.78%,2.94%,1.35%,-0.33%,1.54%
07/31/1996,-4.51%,0.97%,-14.57%,2.10%,-13.42%
08/30/1996,4.26%,2.14%,3.55%,7.83%,6.07%
09/30/1996,8.57%,8.18%,10.14%,6.49%,9.91%
10/31/1996,2.21%,-1.10%,2.63%,5.37%,5.89%
11/29/1996,7.61%,3.27%,17.68%,5.58%,10.44%
12/31/1996,3.03%,3.31%,2.39%,-0.10%,5.54%
01/31/1997,3.91%,-2.02%,16.20%,4.67%,5.92%
02/28/1997,-1.61%,-7.30%,4.63%,2.14%,1.99%
03/31/1997,2.05%,3.06%,1.51%,-2.30%,4.07%
04/30/1997,2.95%,2.41%,6.44%,2.14%,2.10%
05/30/1997,0.88%,4.11%,6.76%,5.57%,-13.93%
06/30/1997,3.41%,-1.72%,11.87%,10.38%,1.51%
07/31/1997,7.46%,1.76%,15.98%,18.26%,2.55%
08/29/1997,-5.51%,-4.13%,-11.95%,-7.85%,-1.30%
09/30/1997,3.96%,-3.00%,15.09%,12.71%,1.52%
10/31/1997,-0.38%,0.72%,-14.43%,6.98%,1.23%
11/28/1997,1.70%,0.71%,5.22%,-2.14%,4.56%
12/31/1997,4.97%,5.96%,5.15%,6.28%,1.66%
